Round,TeamA,TeamB,GoalsA,GoalsB,Year
1,HapHa,HapKS,0,1,2011
1,HapAc,BneTA,2,0,2011
1,MacNa,MacHa,1,4,2011
1,HapRL,BneSa,4,2,2011
1,HapPT,MacTA,1,3,2011
1,HapTA,MacPT,4,1,2011
1,HapBS,BeiYe,0,1,2011
1,MemAs,HapRS,2,0,2011
2,BeiYe,HapAc,3,1,2011
2,BneSa,HapBS,4,3,2011
2,MacHa,HapPT,2,2,2011
2,HapRS,HapRL,1,2,2011
2,HapKS,MacNa,1,3,2011
2,BneTA,HapTA,1,1,2011
2,MacPT,HapHa,2,1,2011
2,MacTA,MemAs,4,0,2011
3,BneSa,HapRS,3,0,2011
3,HapHa,BneTA,0,2,2011
3,HapPT,HapKS,1,1,2011
3,MemAs,MacHa,1,0,2011
3,MacNa,MacPT,0,1,2011
3,HapRL,MacTA,0,2,2011
3,HapTA,BeiYe,1,0,2011
3,HapAc,HapBS,2,0,2011
4,BeiYe,HapHa,1,0,2011
4,BneTA,MacNa,1,2,2011
4,HapBS,HapRS,1,3,2011
4,MacPT,HapPT,1,1,2011
4,HapKS,MemAs,0,0,2011
4,HapAc,HapTA,0,2,2011
4,MacHa,HapRL,3,1,2011
4,MacTA,BneSa,2,0,2011
5,BneSa,MacHa,2,0,2011
5,HapHa,HapAc,2,4,2011
5,HapPT,BneTA,0,1,2011
5,HapTA,HapBS,2,0,2011
5,MemAs,MacPT,1,3,2011
5,MacNa,BeiYe,1,1,2011
5,HapRL,HapKS,1,1,2011
5,HapRS,MacTA,3,1,2011
6,BeiYe,HapPT,1,2,2011
6,HapAc,MacNa,1,2,2011
6,HapTA,HapHa,0,0,2011
6,MacHa,HapRS,5,0,2011
6,HapKS,BneSa,0,0,2011
6,HapBS,MacTA,1,4,2011
6,BneTA,MemAs,1,0,2011
6,MacPT,HapRL,2,2,2011
7,HapHa,HapBS,0,2,2011
7,HapPT,HapAc,0,0,2011
7,MemAs,BeiYe,3,0,2011
7,HapRL,BneTA,0,1,2011
7,HapRS,HapKS,0,1,2011
7,BneSa,MacPT,3,0,2011
7,MacNa,HapTA,2,1,2011
7,MacTA,MacHa,1,1,2011
8,BneTA,BneSa,1,1,2011
8,HapBS,MacHa,1,1,2011
8,HapHa,MacNa,1,1,2011
8,HapAc,MemAs,2,2,2011
8,HapTA,HapPT,5,0,2011
8,MacPT,HapRS,2,3,2011
8,HapKS,MacTA,2,1,2011
8,BeiYe,HapRL,1,1,2011
9,HapPT,HapHa,0,1,2011
9,MacNa,HapBS,2,1,2011
9,HapRL,HapAc,0,3,2011
9,HapRS,BneTA,2,1,2011
9,MemAs,HapTA,2,0,2011
9,MacHa,HapKS,0,3,2011
9,MacTA,MacPT,1,0,2011
9,BneSa,BeiYe,3,0,2011
10,HapBS,HapKS,0,3,2011
10,HapHa,MemAs,2,2,2011
10,HapAc,BneSa,2,1,2011
10,HapTA,HapRL,6,0,2011
10,MacNa,HapPT,1,1,2011
10,MacPT,MacHa,1,4,2011
10,BeiYe,HapRS,0,1,2011
10,BneTA,MacTA,0,0,2011
11,HapPT,HapBS,2,0,2011
11,MemAs,MacNa,2,1,2011
11,HapRL,HapHa,1,1,2011
11,HapRS,HapAc,1,1,2011
11,HapKS,MacPT,1,1,2011
11,BneSa,HapTA,0,1,2011
11,MacHa,BneTA,1,1,2011
11,MacTA,BeiYe,0,1,2011
12,BneTA,HapKS,0,1,2011
12,HapBS,MacPT,0,0,2011
12,HapHa,BneSa,1,2,2011
12,HapAc,MacTA,3,0,2011
12,HapPT,MemAs,0,1,2011
12,MacNa,HapRL,6,2,2011
12,HapTA,HapRS,0,0,2011
12,BeiYe,MacHa,1,4,2011
13,BneSa,MacNa,1,1,2011
13,MemAs,HapBS,2,0,2011
13,MacHa,HapAc,1,0,2011
13,HapRL,HapPT,0,0,2011
13,HapRS,HapHa,2,0,2011
13,HapKS,BeiYe,1,0,2011
13,MacTA,HapTA,1,3,2011
13,MacPT,BneTA,1,0,2011
14,BeiYe,MacPT,0,0,2011
14,HapBS,BneTA,3,1,2011
14,HapAc,HapKS,1,2,2011
14,HapPT,BneSa,1,2,2011
14,MemAs,HapRL,2,1,2011
14,MacNa,HapRS,0,2,2011
14,HapHa,MacTA,2,0,2011
14,HapTA,MacHa,3,0,2011
15,BneSa,MemAs,1,2,2011
15,MacHa,HapHa,1,3,2011
15,MacPT,HapAc,0,4,2011
15,MacTA,MacNa,1,1,2011
15,HapRL,HapBS,0,1,2011
15,HapRS,HapPT,0,0,2011
15,BneTA,BeiYe,3,0,2011
15,HapKS,HapTA,1,0,2011
16,BeiYe,HapBS,0,1,2011
16,BneTA,HapAc,4,1,2011
16,BneSa,HapRL,1,0,2011
16,MacTA,HapPT,1,0,2011
16,HapRS,MemAs,1,1,2011
16,HapKS,HapHa,1,0,2011
16,MacPT,HapTA,1,0,2011
16,MacHa,MacNa,2,1,2011
17,HapBS,BneSa,0,2,2011
17,HapHa,MacPT,1,1,2011
17,HapPT,MacHa,3,1,2011
17,HapTA,BneTA,1,1,2011
17,MacNa,HapKS,0,1,2011
17,HapRL,HapRS,1,1,2011
17,HapAc,BeiYe,1,1,2011
17,MemAs,MacTA,2,1,2011
18,BneTA,HapHa,1,0,2011
18,BeiYe,HapTA,1,1,2011
18,HapBS,HapAc,2,1,2011
18,MacHa,MemAs,1,1,2011
18,MacPT,MacNa,0,1,2011
18,MacTA,HapRL,3,1,2011
18,HapRS,BneSa,0,1,2011
18,HapKS,HapPT,2,0,2011
19,BneSa,MacTA,1,3,2011
19,HapPT,MacPT,1,0,2011
19,HapTA,HapAc,2,1,2011
19,MacNa,BneTA,1,0,2011
19,HapRL,MacHa,4,2,2011
19,HapRS,HapBS,3,3,2011
19,HapHa,BeiYe,3,0,2011
19,MemAs,HapKS,0,0,2011
20,BeiYe,MacNa,2,1,2011
20,BneTA,HapPT,5,1,2011
20,HapBS,HapTA,1,1,2011
20,HapAc,HapHa,1,0,2011
20,MacPT,MemAs,2,3,2011
20,HapKS,HapRL,2,0,2011
20,MacTA,HapRS,0,1,2011
20,MacHa,BneSa,0,0,2011
21,BneSa,HapKS,2,3,2011
21,MemAs,BneTA,0,0,2011
21,MacNa,HapAc,1,1,2011
21,MacTA,HapBS,4,0,2011
21,HapRL,MacPT,2,2,2011
21,HapRS,MacHa,0,0,2011
