Round,TeamA,TeamB,GoalsA,GoalsB,Year
1,BneTA,HapRG,0,0,2010
1,HapAs,HapPT,3,1,2010
1,HapHa,HapTA,1,0,2010
1,HapAc,MemAs,1,2,2010
1,MacNa,BeiYe,4,1,2010
1,HapKS,BneSa,2,0,2010
1,MacTA,MacHa,0,1,2010
1,MacPT,HapBS,0,1,2010
2,BneSa,MacNa,1,1,2010
2,HapRG,HapHa,1,2,2010
2,HapBS,BneTA,0,1,2010
2,HapPT,HapAc,2,2,2010
2,HapTA,HapAs,5,1,2010
2,MemAs,HapKS,2,2,2010
2,MacHa,MacPT,1,0,2010
2,BeiYe,MacTA,0,1,2010
3,HapAs,HapRG,1,1,2010
3,HapAc,HapTA,2,2,2010
3,MacNa,MemAs,2,0,2010
3,MacPT,BeiYe,2,1,2010
3,MacTA,BneSa,4,0,2010
3,HapKS,HapPT,3,1,2010
3,HapHa,BneTA,2,0,2010
3,HapBS,MacHa,1,1,2010
4,BeiYe,HapBS,5,1,2010
4,BneTA,MacHa,2,3,2010
4,BneSa,MacPT,2,3,2010
4,HapHa,HapAs,1,2,2010
4,HapPT,MacNa,1,1,2010
4,HapTA,HapKS,2,4,2010
4,HapRG,HapAc,3,2,2010
4,MemAs,MacTA,1,2,2010
5,HapAs,BneTA,0,0,2010
5,HapBS,BneSa,1,0,2010
5,HapAc,HapHa,2,1,2010
5,MacNa,HapTA,1,3,2010
5,MacPT,MemAs,2,2,2010
5,MacTA,HapPT,2,1,2010
5,MacHa,BeiYe,3,3,2010
5,HapKS,HapRG,1,0,2010
6,BneSa,MacHa,1,2,2010
6,HapAs,HapAc,0,0,2010
6,HapRG,MacNa,0,1,2010
6,HapHa,HapKS,1,4,2010
6,HapPT,MacPT,1,4,2010
6,HapTA,MacTA,1,0,2010
6,MemAs,HapBS,0,3,2010
6,BneTA,BeiYe,2,1,2010
7,HapBS,HapPT,0,0,2010
7,HapAc,BneTA,3,1,2010
7,MacHa,MemAs,1,1,2010
7,MacNa,HapHa,1,1,2010
7,MacTA,HapRG,2,0,2010
7,HapKS,HapAs,2,2,2010
7,MacPT,HapTA,1,2,2010
7,BeiYe,BneSa,0,0,2010
8,BneTA,BneSa,2,0,2010
8,HapAs,MacNa,0,4,2010
8,HapRG,MacPT,0,2,2010
8,HapAc,HapKS,3,0,2010
8,HapTA,HapBS,3,2,2010
8,MemAs,BeiYe,3,0,2010
8,HapPT,MacHa,0,1,2010
8,HapHa,MacTA,0,0,2010
9,BeiYe,HapPT,0,2,2010
9,BneSa,MemAs,0,2,2010
9,HapBS,HapRG,2,0,2010
9,MacPT,HapHa,2,3,2010
9,MacTA,HapAs,2,0,2010
9,HapKS,BneTA,2,2,2010
9,MacNa,HapAc,1,3,2010
9,MacHa,HapTA,0,2,2010
10,BneTA,MemAs,0,0,2010
10,HapAs,MacPT,0,1,2010
10,HapRG,MacHa,1,3,2010
10,HapHa,HapBS,1,1,2010
10,HapAc,MacTA,3,1,2010
10,HapKS,MacNa,3,0,2010
10,HapTA,BeiYe,0,0,2010
10,HapPT,BneSa,0,1,2010
11,BeiYe,HapRG,3,2,2010
11,BneSa,HapTA,1,3,2010
11,MemAs,HapPT,1,2,2010
11,MacNa,BneTA,0,0,2010
11,MacPT,HapAc,1,1,2010
11,MacTA,HapKS,0,1,2010
11,HapBS,HapAs,1,0,2010
11,MacHa,HapHa,0,0,2010
12,BneTA,HapPT,2,0,2010
12,HapAs,MacHa,0,3,2010
12,HapRG,BneSa,1,2,2010
12,HapHa,BeiYe,0,2,2010
12,HapAc,HapBS,2,3,2010
12,HapKS,MacPT,2,2,2010
12,HapTA,MemAs,0,2,2010
12,MacNa,MacTA,0,2,2010
13,BeiYe,HapAs,4,0,2010
13,BneSa,HapHa,1,3,2010
13,HapPT,HapTA,1,5,2010
13,MemAs,HapRG,2,2,2010
13,MacTA,BneTA,2,0,2010
13,MacPT,MacNa,2,0,2010
13,HapBS,HapKS,1,1,2010
